CisControl,CheckId,Collector,Area,Name
1.1.1,MANUAL-CIS-1-1-1,,,"Ensure Administrative accounts are cloud-only"
1.1.2,MANUAL-CIS-1-1-2,,,"Ensure two emergency access accounts have been defined"
1.1.3,ENTRA-ADMIN-001,Entra,ADMIN,"Ensure that between two and four global admins are designated"
1.1.4,MANUAL-CIS-1-1-4,,,"Ensure administrative accounts use licenses with a reduced application footprint"
1.2.1,MANUAL-CIS-1-2-1,,,"Ensure that only organizationally managed/approved public groups exist"
1.2.2,MANUAL-CIS-1-2-2,,,"Ensure sign-in to shared mailboxes is blocked"
1.3.1,ENTRA-PASSWORD-001,Entra,PASSWORD,"Ensure the 'Password expiration policy' is set to 'Set passwords to never expire'"
1.3.2,SPO-SESSION-001,SharePoint,SESSION,"Ensure 'Idle session timeout' is set to '3 hours (or less)' for unmanaged devices"
1.3.3,EXO-SHARING-001,ExchangeOnline,SHARING,"Ensure 'External sharing' of calendars is not available"
1.3.4,MANUAL-CIS-1-3-4,,,"Ensure 'User owned apps and services' is restricted"
1.3.5,MANUAL-CIS-1-3-5,,,"Ensure internal phishing protection for Forms is enabled"
1.3.6,EXO-LOCKBOX-001,ExchangeOnline,LOCKBOX,"Ensure the customer lockbox feature is enabled"
1.3.7,MANUAL-CIS-1-3-7,,,"Ensure 'third-party storage services' are restricted in 'Microsoft 365 on the web'"
1.3.8,MANUAL-CIS-1-3-8,,,"Ensure that Sways cannot be shared with people outside of your organization"
1.3.9,MANUAL-CIS-1-3-9,,,"Ensure shared bookings pages are restricted to select users"
2.1.1,DEFENDER-SAFELINKS-001,Defender,SAFELINKS,"Ensure Safe Links for Office Applications is Enabled"
2.1.2,DEFENDER-ANTIMALWARE-001,Defender,ANTIMALWARE,"Ensure the Common Attachment Types Filter is enabled"
2.1.3,DEFENDER-ANTIMALWARE-002,Defender,ANTIMALWARE,"Ensure notifications for internal users sending malware is Enabled"
2.1.4,DEFENDER-SAFEATTACH-001,Defender,SAFEATTACH,"Ensure Safe Attachments policy is enabled"
2.1.5,MANUAL-CIS-2-1-5,,,"Ensure Safe Attachments for SharePoint OneDrive and Microsoft Teams is Enabled"
2.1.6,DEFENDER-ANTISPAM-001,Defender,ANTISPAM,"Ensure Exchange Online Spam Policies are set to notify administrators"
2.1.7,DEFENDER-ANTIPHISH-001,Defender,ANTIPHISH,"Ensure that an anti-phishing policy has been created"
2.1.8,MANUAL-CIS-2-1-8,,,"Ensure that SPF records are published for all Exchange Domains"
2.1.9,MANUAL-CIS-2-1-9,,,"Ensure that DKIM is enabled for all Exchange Online Domains"
2.1.10,MANUAL-CIS-2-1-10,,,"Ensure DMARC Records for all Exchange Online domains are published"
2.1.11,MANUAL-CIS-2-1-11,,,"Ensure comprehensive attachment filtering is applied"
2.1.12,MANUAL-CIS-2-1-12,,,"Ensure the connection filter IP allow list is not used"
2.1.13,MANUAL-CIS-2-1-13,,,"Ensure the connection filter safe list is off"
2.1.14,MANUAL-CIS-2-1-14,,,"Ensure inbound anti-spam policies do not contain allowed domains"
2.1.15,DEFENDER-OUTBOUND-001,Defender,OUTBOUND,"Ensure outbound anti-spam message limits are in place"
2.4.1,MANUAL-CIS-2-4-1,,,"Ensure Priority account protection is enabled and configured"
2.4.2,MANUAL-CIS-2-4-2,,,"Ensure Priority accounts have 'Strict protection' presets applied"
2.4.3,MANUAL-CIS-2-4-3,,,"Ensure Microsoft Defender for Cloud Apps is enabled and configured"
2.4.4,MANUAL-CIS-2-4-4,,,"Ensure Zero-hour auto purge for Microsoft Teams is on"
3.1.1,MANUAL-CIS-3-1-1,,,"Ensure Microsoft 365 audit log search is Enabled"
3.2.1,MANUAL-CIS-3-2-1,,,"Ensure DLP policies are enabled"
3.2.2,MANUAL-CIS-3-2-2,,,"Ensure DLP policies are enabled for Microsoft Teams"
3.3.1,MANUAL-CIS-3-3-1,,,"Ensure Information Protection sensitivity label policies are published"
4.1,MANUAL-CIS-4-1,,,"Ensure devices without a compliance policy are marked 'not compliant'"
4.2,MANUAL-CIS-4-2,,,"Ensure device enrollment for personally owned devices is blocked by default"
5.1.2.1,MANUAL-CIS-5-1-2-1,,,"Ensure 'Per-user MFA' is disabled"
5.1.2.2,MANUAL-CIS-5-1-2-2,,,"Ensure third party integrated applications are not allowed"
5.1.2.3,ENTRA-TENANT-001,Entra,TENANT,"Ensure 'Restrict non-admin users from creating tenants' is set to 'Yes'"
